my.pops,my.cols
CHN,darkseagreen4
CHNF,darkseagreen3
DPB,blue3
FRA,gold1
FRAF,gold3
GUR,darkslategray2
HIS,mediumpurple3
JPN,turquoise4
PEN,purple1
PENF,purple4
PIP,darkviolet
QDC,darkseagreen1
ROS,red
RSC,darkseagreen
SER,orchid2
